"","name","Sex","Nation","sleeptime","steps","height","weight","IMC","Age"
"1","W_6308","M","SP",7.67986151829197,10253.5279074603,151.50876144085,60.5698367688302,26.3864465194397,35.5400008417272
"2","H_1349","M","IR",6.4781560086859,12035.3455556752,161.14251775438,65.7814165424736,25.3327846623662,30.5385513394795
"3","Q_9598","M","BE",5.15996844171062,12559.4079504426,171.148308271056,70.8685039034764,24.1940204369343,34.2599677525094
"4","M_6094","V","SP",6.13014098688843,8387.32628657891,176.259047842616,76.0477264839329,24.4784207548105,28.0134355034883
"5","D_8009","V","SP",1.87956140757567,8827.01195400702,170.395526802041,72.9581193925759,25.1279611402458,31.0069994312
"6","I_2820","M","PT",6.26435884108231,11914.4952181361,161.300237427981,65.8949349289884,25.3268990980057,32.1162619619748
"7","J_7125","V","PT",11.5990446344514,10481.7692398444,161.839580479154,68.9407575783924,26.3212532349964,37.8075349078991
"8","R_8413","M","SP",8.59870777291734,10223.6228015878,160.124491513221,64.8753759266301,25.3025539878467,30.286555120311
"9","A_7364","V","IT",4.45872746502242,10307.5783273574,161.096582647183,67.856827553782,26.1469415487941,27.5231619193885
"10","C_838","M","GB",6.6830811316946,12603.5040635982,161.268732647367,65.738620804583,25.2766923384309,33.569875611369
"11","T_9088","V","SP",5.74117699274294,8732.43202767798,174.785706897888,74.8344844354695,24.4957048384245,24.8838601945588
"12","U_8118","M","FR",5.71427915645076,11767.2688486149,150.98987168808,60.2442434350755,26.4252997689105,33.7861835367534
"13","K_6461","V","IT",8.39283842606692,10489.8213465349,171.939653219076,74.6310866298477,25.2445522381002,31.9208656310542
"14","F_8598","M","PT",10.016474558167,12178.1821708566,160.317952403173,65.1812172425801,25.3605198594152,31.2965894103718
"15","O_5474","V","SP",4.46258125941618,8478.21741015573,166.721028851343,71.2116091144713,25.6194637953173,26.9971896042903
"16","V_2673","V","IT",11.4617077580108,10204.8945882995,169.990755434501,73.4058786549569,25.4027207265712,35.5060776448356
"17","G_9178","M","SP",12.4852428748402,9958.85230484397,156.767900636158,63.3799376332745,25.7891793514072,32.3064538070467
"18","P_9217","V","PO",5.03626920884655,10352.9555741742,160.725311439312,67.814089633529,26.2513343874706,34.5782784566451
"19","B_2823","V","GB",5.81453849535982,10229.3486372896,173.141750842471,74.4817343672175,24.8454101920537,28.2957937138108
"20","L_3957","M","SP",14.3421872757137,10431.6519037549,155.136141375043,62.5099490830412,25.9730633415424,30.6074920400046
"21","S_2438","V","SP",2.18627096188011,8314.18482078319,164.886184332784,69.9675023901539,25.7352170403619,27.9302026962415
"22","E_6445","M","FR",11.1634206272077,11981.9987250934,162.795920866266,66.3100246430049,25.0202792160111,35.4105640542591
"23","N_8208","M","SP",5.59791796585177,10402.4352185905,168.951326552436,69.6794435546755,24.410769039601,36.3064342280217
"24","W_6961","V","BE",16.9682574666304,10128.0165442077,171.381271097155,73.4340965767613,25.001786208539,33.025942765392
"25","H_5564","M","GB",12.9879122437968,11947.8174718566,152.653832338322,60.9120310848967,26.1389210996798,34.4651627821676
"26","Q_7143","V","GB",6.9795644406518,10272.5848300773,179.748928391447,78.4863263703127,24.2918942655754,33.3980721840098
"27","M_8595","V","FR",4.33408650222715,10085.3872552711,173.484379151047,74.5617463167257,24.773953532268,31.7641939694232
"28","D_7057","V","SP",11.0228762559028,8497.95571202731,167.439719508091,71.2136698680134,25.4007412984954,30.0710859500374
"29","I_7112","M","PT",11.9267789623482,12534.4301691855,153.02605440487,61.6282051707214,26.3177500827549,33.2593722449877
"30","J_2979","V","PT",6.23432714322309,10550.1460742779,163.578358674507,70.4233183583567,26.3187217624684,36.3695624125014
"31","R_8096","M","SP",15.5047680747329,10211.2204207734,162.156228459503,66.1934123650271,25.1737259959887,33.4903980312518
"32","A_4884","V","GE",7.40578481810497,9834.98665030515,173.632004199889,74.6727867749779,24.7686766136208,26.6826351798775
"33","C_321","V","BE",17.0106134335006,10337.2105092922,177.272603085441,76.7678355430969,24.4284578969095,28.4356301034885
"34","T_8860","M","BE",10.5131946280805,12143.9559055281,146.056710257417,57.5074951653732,26.9576122725778,34.1604180032928
"35","U_3183","M","SP",6.1839748077074,10428.1657152921,164.094039905749,66.787476416907,24.8032973269387,33.7849556042349
"36","K_1810","V","SP",8.37209250921263,8360.70368619866,174.044594126123,74.6675225781898,24.649644766244,34.2283694069977
"37","F_856","V","FR",3.20777500242845,10118.0170446448,171.122365696187,73.7548989765796,25.1870509906938,30.375651696112
"38","O_7195","V","SP",1.42628388784191,8468.98004817726,170.450579835472,73.483087260224,25.2924225184456,36.738905048892
"39","V_4093","M","SP",5.1839687917284,10249.5434400943,143.899826503473,56.3337724511318,27.2049727084126,35.9512470178871
"40","G_2536","V","GB",6.07461393547204,10118.6870033228,182.954668183058,79.4235512190517,23.7280643287126,30.3739223359041
"41","P_2647","V","PT",15.2781189403949,10331.6769704756,179.075595965546,77.6294589642927,24.2077122865841,32.4225149289983
"42","B_9290","V","GB",6.17535220053265,10226.6487471922,163.595723336358,69.2613513537355,25.878974829161,29.3175856952064
"43","L_9636","M","GB",14.471344335375,12254.4457906536,156.048927825847,63.1962852154254,25.9519485959732,37.3693872787335
"44","S_5874","V","SP",16.2367507603386,8224.93279850776,174.819299976208,76.1191009080231,24.9066258146521,36.0817107281838
"45","E_2704","V","SP",2.44832420311406,8023.42412838914,171.427378567353,73.7082695811377,25.08163522965,30.7436128157007
"46","N_1311","V","BE",17.9891975714143,10599.2102954093,167.645411984516,72.1389819620415,25.6676828397232,35.3341452170026
"47","W_8442","M","PT",15.9909748634502,12314.1704205289,150.668453771917,60.1437650973262,26.4939034569337,34.7172177368614
"48","H_3502","M","FR",6.50566446229643,12055.9453862019,166.483306986547,68.5835266897675,24.7444853499045,37.1050071733407
"49","Q_943","M","IT",13.8437100163533,12422.8677112135,163.547778309596,67.2362732876234,25.1370515608379,31.5401184649532
"50","M_6917","V","SP",5.25676477077957,7705.63555731835,167.01407200818,71.6210882533545,25.6764386275913,32.440532562017
"51","D_2205","M","FR",7.5257526970224,12188.0616839254,165.443320432922,68.0212859983531,24.851142682607,32.9713871718516
"52","I_8675","V","SP",9.1869946719175,8196.00303015933,174.967123224746,75.8655970509463,24.781750339135,28.7729459286861
"53","J_8616","M","IT",5.25771961201576,12798.8377977549,164.28110785826,67.4561863910191,24.9946200330167,39.1913542066245
"54","R_6255","V","GB",9.28896010096815,10165.7459506492,169.2601696446,72.8872162997509,25.4414476971234,28.5295665587937
"55","A_7072","V","SP",10.2905582569345,8350.14515646589,154.677593350463,65.3462789142396,27.3127890019285,37.0804570686967
"56","C_2574","V","FR",8.12945698601627,10480.7973792717,166.540482818963,71.3933543552604,25.7405693422487,32.0259210349573
"57","T_2052","V","SP",0.802822121886347,8221.50606584525,170.054350985909,72.9553899075553,25.2279456362425,30.3224460356658
"58","U_6516","M","SP",3.17665530370552,9998.90293739885,171.794401701906,71.2751218181594,24.1501567348896,33.5536846506927
"59","K_4727","V","IR",5.20234742012819,10324.4196848575,165.078310144622,70.2788754569621,25.7896100035252,32.2914236010896
"60","F_2871","V","SP",3.41325222079608,8392.17913757264,156.476332198783,65.7600486620285,26.8574521395999,31.0417014531648
"61","O_8233","V","SP",1.98927453630749,8165.130918587,173.782003258684,74.5134068466104,24.6731626623756,28.462194971661
"62","V_4142","M","SP",17.1107949281489,10735.7430892978,167.042491826214,68.8639910239438,24.67960866329,36.4245866606139
"63","G_4895","M","IT",13.7662479286012,12285.9367690096,152.412565484985,60.8345641598796,26.1883932740973,34.2581597068557
"64","P_4389","V","SP",8.25946088430376,8368.57640493778,168.784105264483,72.3700562135426,25.4036323168236,32.7886411402967
"65","B_9110","V","SP",17.6200573880797,8589.30008780598,165.686184603003,70.6863874529651,25.7491675077394,30.3738601606058
